Review,Rating,price,purchase_decision,Review_Tokenized
"Paket nya udah datang.blom di coba.ko baso Aci nya yg besar cuman satu.kebanyakan baso Aci nya kecil kecil,5.0,3400.0,Y,""['paket', 'nya', 'udah', 'datangblom', 'di', 'cobako', 'baso', 'aci', 'nya', 'yg', 'besar', 'cuman', 'satukebanyakan', 'baso', 'aci', 'nya', 'kecil', 'kecil']"""
"Rasanya lumayan enak, baso acinya empuk cma yg bulat kering sma yg bntuknya kya lidah itu alot & keras, sesuai harganya lh, 4 pcs dpt hrga 11.500 udh sma ongkir, btw... ,4.0,3400.0,N,""['rasanya', 'lumayan', 'enak', 'baso', 'acinya', 'empuk', 'cma', 'yg', 'bulat', 'kering', 'sma', 'yg', 'bntuknya', 'kya', 'lidah', 'itu', 'alot', 'keras', 'sesuai', 'harganya', 'lh', 'pcs', 'dpt', 'hrga', 'udh', 'sma', 'ongkir', 'btw']"""
"waktu aku masak jujur kaget sama warna bumbunya rasanya pun gk kayak boci pada umumnya, menurutku kurang enak dan cuanki nya juga gaenak gk kayak cuanki pd umumnya. tp ya... ,3.0,3400.0,N,""['waktu', 'aku', 'masak', 'jujur', 'kaget', 'sama', 'warna', 'bumbunya', 'rasanya', 'pun', 'gk', 'kayak', 'boci', 'pada', 'umumnya', 'menurutku', 'kurang', 'enak', 'dan', 'cuanki', 'nya', 'juga', 'gaenak', 'gk', 'kayak', 'cuanki', 'pd', 'umumnya', 'tp', 'ya']"""
"Orderan kedua karena rasanya emang seenak itu. Proses pengiriman sangat cepat & hanya butuh 2 hari paket sampai ditujuan kota kalimantan. Radjasnack.rjs emang the bes... ,5.0,3400.0,Y,""['orderan', 'kedua', 'karena', 'rasanya', 'emang', 'seenak', 'itu', 'proses', 'pengiriman', 'sangat', 'cepat', 'hanya', 'butuh', 'hari', 'paket', 'sampai', 'ditujuan', 'kota', 'kalimantan', 'radjasnackrjs', 'emang', 'the', 'bes']"""
"Kualitas produk: Mantap aku langsung coba dan enak
Dikemas aman bgt dan fresh bgt2
Makasih seller,5.0,3400.0,Y,""['kualitas', 'produk', 'mantap', 'aku', 'langsung', 'coba', 'dan', 'enak', 'dikemas', 'aman', 'bgt', 'dan', 'fresh', 'bgt', 'makasih', 'seller']"""
"Baik,sepertinya.enak x ini walau belom di coba. Dan sekarang siap saya mau santap.
      Trimakaih,5.0,3400.0,Y,""['baiksepertinyaenak', 'x', 'ini', 'walau', 'belom', 'di', 'coba', 'dan', 'sekarang', 'siap', 'saya', 'mau', 'santap', 'trimakaih']"""
"6 pcs dapat harga 16 rb, baso Aci nya enak kurang banyak ajaa cilok nyaaa. enak lumayan apalagi hujan hujan,5.0,3400.0,Y,""['pcs', 'dapat', 'harga', 'rb', 'baso', 'aci', 'nya', 'enak', 'kurang', 'banyak', 'ajaa', 'cilok', 'nyaaa', 'enak', 'lumayan', 'apalagi', 'hujan', 'hujan']"""
"Mantapppp pokok nya mah...beli 10 bayar 25k pas...sama Admin segala...
Murmer Bangett...
Suka...enak...
Terima kasih Kaka.. sukses Trussss
Saya lebih suka pake bumbu Indo... ,5.0,3400.0,Y,""['mantapppp', 'pokok', 'nya', 'mahbeli', 'bayar', 'k', 'passama', 'admin', 'segala', 'murmer', 'bangett', 'sukaenak', 'terima', 'kasih', 'kaka', 'sukses', 'trussss', 'saya', 'lebih', 'suka', 'pake', 'bumbu', 'indo']"""
"Harga terjangkau, rasa nya enak, kalo bisa porsinya di banyakin lagi,5.0,3400.0,Y,""['harga', 'terjangkau', 'rasa', 'nya', 'enak', 'kalo', 'bisa', 'porsinya', 'di', 'banyakin', 'lagi']"""
"Paket sudah kami Terima sesuai pesenan, produk belum dicoba semoga maknyus saja, packing super rapih kurir baik, ramah dan sopan,5.0,3400.0,Y,""['paket', 'sudah', 'kami', 'terima', 'sesuai', 'pesenan', 'produk', 'belum', 'dicoba', 'semoga', 'maknyus', 'saja', 'packing', 'super', 'rapih', 'kurir', 'baik', 'ramah', 'dan', 'sopan']"""
